Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,231.5,-274.6,90,top
C2,10u,C_0603_1608Metric,229,-274.6,90,top
C3,100n,C_0402_1005Metric,206.77,-234.24,180,top
C4,100n,C_0402_1005Metric,198.77,-234.25,180,top
C5,100n,C_0402_1005Metric,190.77,-234.25,180,top
C6,100n,C_0402_1005Metric,182.04,-248.5,180,top
C7,100n,C_0402_1005Metric,175,-248.5,180,top
C8,100n,C_0402_1005Metric,110.25,-234.29,180,top
C9,100n,C_0402_1005Metric,87.22,-236.64,180,top
C10,100n,C_0402_1005Metric,80.2,-236.615,180,top
C11,100n,C_0402_1005Metric,537.5,-236.25,180,top
C12,100n,C_0402_1005Metric,531.48,-236.25,180,top
C13,100n,C_0402_1005Metric,525.52,-236.25,180,top
C14,100n,C_0402_1005Metric,274.71,-235,180,top
C15,100n,C_0402_1005Metric,268.98,-235,180,top
C16,100n,C_0402_1005Metric,246.02,-235,180,top
C17,100n,C_0402_1005Metric,345.78,-235,180,top
C18,100n,C_0402_1005Metric,434.75,-235,180,top
C19,100n,C_0402_1005Metric,322.48,-235,180,top
C20,100n,C_0402_1005Metric,316.77,-235.02,180,top
C21,100n,C_0402_1005Metric,311.01,-235,180,top
C22,100n,C_0402_1005Metric,410.77,-235,180,top
C23,100n,C_0402_1005Metric,418.77,-235,180,top
C24,100n,C_0402_1005Metric,426.75,-235,180,top
C25,100n,C_0402_1005Metric,351.76,-235,180,top
C26,100n,C_0402_1005Metric,402.77,-228,180,top
C27,100n,C_0402_1005Metric,148.59,-248.12,-90,top
C28,100n,C_0402_1005Metric,152.46,-241.75,0,top
C29,100n,C_0402_1005Metric,152.01,-236.5,-90,top
C30,100n,C_0402_1005Metric,127.25,-232,90,top
C31,100n,C_0402_1005Metric,136.33,-223.33,0,top
C32,100n,C_0402_1005Metric,147.84,-223.32,0,top
C33,100n,C_0402_1005Metric,141.84,-248,180,top
C34,100n,C_0402_1005Metric,136.84,-248,180,top
C35,100n,C_0402_1005Metric,127.5,-237.5,90,top
C36,2u2,C_0402_1005Metric,127,-243.57,180,top
C37,2u2,C_0402_1005Metric,131.6,-222.88,90,top
C38,4u7,C_0402_1005Metric,147.84,-222.34,0,top
C39,100n,C_0402_1005Metric,127.5,-245,90,top
C40,1u,C_0402_1005Metric,153.26,-229.12,-90,top
